Magnetic Field.X,Magnetic Field.Y,Magnetic Field.Z,,Measured Magnetic Field Vector.X,Measured Magnetic Field Vector.Y,Magnetic Field Vector.Z,,,Declination,Geocentric Latitude,Geodetic Latitude,Altitude
-2.00E+04,-2.78E+04,-8360,,-2.00E-05,-2.77E-05,-8.36E-06,,,38.99,38.99,39.17,419.8
-2.41E+04,2.00E+04,-1.65E+04,,-2.41E-05,2.00E-05,-1.64E-05,,,39.38,39.38,39.56,419.9
-2041,1.04E+04,-3.39E+04,,-2.05E-06,1.05E-05,-3.39E-05,,,39.76,39.76,39.94,419.9
2010,1.00E+04,-3.42E+04,,2.00E-06,1.01E-05,-3.42E-05,,,40.14,40.14,40.32,420
2.43E+04,1.85E+04,-1.88E+04,,2.43E-05,1.85E-05,-1.88E-05,,,40.52,40.52,40.7,420.1
1.66E+04,-2.95E+04,-1.22E+04,,1.66E-05,-2.95E-05,-1.22E-05,,,40.89,40.89,41.07,420.2
-1.21E+04,-1.50E+04,-3.06E+04,,-1.21E-05,-1.49E-05,-3.06E-05,,,41.26,41.26,41.43,420.3
-1.03E+04,2366,-3.48E+04,,-1.03E-05,2.40E-06,-3.48E-05,,,41.62,41.62,41.8,420.3
-2.13E+04,-1.32E+04,-2.66E+04,,-2.13E-05,-1.31E-05,-2.66E-05,,,41.98,41.98,42.16,420.4
-8654,3.25E+04,-1.47E+04,,-8.66E-06,3.25E-05,-1.47E-05,,,42.33,42.33,42.51,420.5
1.92E+04,1.26E+04,-2.88E+04,,1.92E-05,1.26E-05,-2.88E-05,,,42.68,42.68,42.86,420.6
1.09E+04,-1.43E+04,-3.23E+04,,1.09E-05,-1.43E-05,-3.23E-05,,,43.02,43.02,43.2,420.6
1.34E+04,1.00E+04,-3.32E+04,,1.34E-05,1.00E-05,-3.32E-05,,,43.36,43.36,43.54,420.7
2646,-3.15E+04,-1.98E+04,,2.64E-06,-3.15E-05,-1.98E-05,,,43.7,43.7,43.88,420.8
-2.33E+04,-1.15E+04,-2.70E+04,,-2.33E-05,-1.15E-05,-2.70E-05,,,44.03,44.03,44.21,420.9
-1.09E+04,2.13E+04,-2.91E+04,,-1.09E-05,2.13E-05,-2.90E-05,,,44.35,44.35,44.53,420.9
-7422,-1.05E+04,-3.56E+04,,-7.47E-06,-1.05E-05,-3.56E-05,,,44.67,44.67,44.85,421
-1493,2.64E+04,-2.73E+04,,-1.54E-06,2.64E-05,-2.73E-05,,,44.98,44.98,45.16,421.1
2.26E+04,1.15E+04,-2.85E+04,,2.25E-05,1.15E-05,-2.85E-05,,,45.29,45.29,45.47,421.1
8885,-2.66E+04,-2.61E+04,,8.85E-06,-2.66E-05,-2.61E-05,,,45.59,45.59,45.77,421.2
303.2,8950,-3.74E+04,,2.86E-07,8.93E-06,-3.74E-05,,,45.89,45.89,46.07,421.3
1298,-1.93E+04,-3.34E+04,,1.30E-06,-1.94E-05,-3.35E-05,,,46.17,46.17,46.35,421.3
-2.13E+04,-1.59E+04,-2.82E+04,,-2.13E-05,-1.59E-05,-2.82E-05,,,46.46,46.46,46.64,421.4
-9704,2.79E+04,-2.54E+04,,-9.70E-06,2.79E-05,-2.54E-05,,,46.74,46.74,46.92,421.5
3387,-6710,-3.84E+04,,3.40E-06,-6.69E-06,-3.84E-05,,,47.01,47.01,47.19,421.5
-3996,7095,-3.84E+04,,-3.98E-06,7.08E-06,-3.84E-05,,,47.27,47.27,47.45,421.6
1.63E+04,2.04E+04,-2.96E+04,,1.63E-05,2.04E-05,-2.96E-05,,,47.53,47.53,47.71,421.7
1.05E+04,-2.72E+04,-2.69E+04,,1.05E-05,-2.72E-05,-2.69E-05,,,47.78,47.78,47.96,421.7
-7989,-1955,-3.89E+04,,-7.97E-06,-1.97E-06,-3.89E-05,,,48.02,48.02,48.2,421.8
2817,5222,-3.95E+04,,2.85E-06,5.19E-06,-3.95E-05,,,48.26,48.26,48.44,421.8
-1.11E+04,-2.46E+04,-2.97E+04,,-1.11E-05,-2.46E-05,-2.97E-05,,,48.49,48.49,48.67,421.9
-1.42E+04,1.97E+04,-3.21E+04,,-1.42E-05,1.96E-05,-3.21E-05,,,48.71,48.71,48.89,421.9
7325,1.29E+04,-3.76E+04,,7.33E-06,1.29E-05,-3.76E-05,,,48.93,48.93,49.11,422
-1150,-1.62E+04,-3.72E+04,,-1.16E-06,-1.63E-05,-3.71E-05,,,49.14,49.14,49.32,422
2435,2.15E+04,-3.45E+04,,2.43E-06,2.14E-05,-3.45E-05,,,49.34,49.34,49.52,422.1
1.49E+04,-5668,-3.77E+04,,1.49E-05,-5.70E-06,-3.76E-05,,,49.53,49.53,49.71,422.1
-5070,-2.42E+04,-3.27E+04,,-5.07E-06,-2.43E-05,-3.27E-05,,,49.71,49.71,49.89,422.2
-5393,1.72E+04,-3.71E+04,,-5.36E-06,1.72E-05,-3.71E-05,,,49.89,49.89,50.07,422.2
3317,-9240,-4.02E+04,,3.35E-06,-9.25E-06,-4.02E-05,,,50.06,50.06,50.24,422.2
-1.29E+04,-1.31E+04,-3.72E+04,,-1.29E-05,-1.31E-05,-3.72E-05,,,50.22,50.22,50.4,422.3
-2063,2.60E+04,-3.25E+04,,-2.08E-06,2.60E-05,-3.24E-05,,,50.37,50.37,50.55,422.3
1.01E+04,-7081,-3.99E+04,,1.01E-05,-7.10E-06,-3.99E-05,,,50.52,50.52,50.69,422.3
-4909,-1.23E+04,-3.98E+04,,-4.91E-06,-1.23E-05,-3.98E-05,,,50.65,50.65,50.83,422.4
3668,1.98E+04,-3.69E+04,,3.67E-06,1.98E-05,-3.69E-05,,,50.78,50.78,50.96,422.4
7595,-1.66E+04,-3.81E+04,,7.58E-06,-1.66E-05,-3.81E-05,,,50.9,50.9,51.07,422.4
-1.18E+04,-1.47E+04,-3.79E+04,,-1.18E-05,-1.47E-05,-3.80E-05,,,51.01,51.01,51.18,422.4
-4068,2.11E+04,-3.67E+04,,-4.06E-06,2.11E-05,-3.67E-05,,,51.11,51.11,51.28,422.5
3026,-9995,-4.13E+04,,3.02E-06,-9.99E-06,-4.14E-05,,,51.2,51.2,51.38,422.5
-1.01E+04,-6089,-4.11E+04,,-1.01E-05,-6.10E-06,-4.11E-05,,,51.28,51.28,51.46,422.5
3426,2.52E+04,-3.45E+04,,3.43E-06,2.52E-05,-3.45E-05,,,51.36,51.36,51.53,422.5
1.27E+04,-9964,-3.99E+04,,1.27E-05,-9.98E-06,-3.99E-05,,,51.42,51.42,51.6,422.5
-2665,-1.47E+04,-4.05E+04,,-2.66E-06,-1.47E-05,-4.05E-05,,,51.48,51.48,51.65,422.6
2854,1.50E+04,-4.05E+04,,2.87E-06,1.50E-05,-4.05E-05,,,51.52,51.52,51.7,422.6
5609,-1.69E+04,-3.96E+04,,5.61E-06,-1.69E-05,-3.96E-05,,,51.56,51.56,51.74,422.6
-1.38E+04,-1.87E+04,-3.68E+04,,-1.38E-05,-1.87E-05,-3.68E-05,,,51.59,51.59,51.77,422.6
-1.04E+04,1.90E+04,-3.79E+04,,-1.05E-05,1.90E-05,-3.78E-05,,,51.61,51.61,51.78,422.6
-247.1,-1296,-4.37E+04,,-2.74E-07,-1.27E-06,-4.37E-05,,,51.62,51.62,51.79,422.6
-1.08E+04,-7053,-4.19E+04,,-1.08E-05,-7.06E-06,-4.19E-05,,,51.62,51.62,51.79,422.6
-578.2,2.75E+04,-3.43E+04,,-5.85E-07,2.74E-05,-3.43E-05,,,51.61,51.61,51.79,422.6
1.60E+04,5960,-4.06E+04,,1.60E-05,5.96E-06,-4.06E-05,,,51.59,51.59,51.77,422.6
6612,-1.65E+04,-4.04E+04,,6.60E-06,-1.65E-05,-4.04E-05,,,51.57,51.57,51.74,422.6
6141,1.04E+04,-4.25E+04,,6.14E-06,1.04E-05,-4.25E-05,,,51.53,51.53,51.71,422.6
1.43E+04,-7590,-4.13E+04,,1.42E-05,-7.58E-06,-4.13E-05,,,51.48,51.48,51.66,422.6
-3080,-3.12E+04,-3.15E+04,,-3.10E-06,-3.11E-05,-3.15E-05,,,51.43,51.43,51.61,422.5
-1.49E+04,-481.1,-4.19E+04,,-1.50E-05,-4.95E-07,-4.19E-05,,,51.37,51.37,51.54,422.5
-7008,3239,-4.39E+04,,-7.02E-06,3.21E-06,-4.39E-05,,,51.29,51.29,51.47,422.5
-1.59E+04,-1.64E+04,-3.83E+04,,-1.59E-05,-1.64E-05,-3.83E-05,,,51.21,51.21,51.39,422.5
-1.98E+04,1.56E+04,-3.69E+04,,-1.98E-05,1.55E-05,-3.69E-05,,,51.12,51.12,51.3,422.5
-896.8,2.83E+04,-3.47E+04,,-8.78E-07,2.83E-05,-3.47E-05,,,51.02,51.02,51.2,422.4
5694,-691.5,-4.45E+04,,5.72E-06,-7.12E-07,-4.44E-05,,,50.91,50.91,51.09,422.4
3751,1.22E+04,-4.30E+04,,3.78E-06,1.22E-05,-4.30E-05,,,50.8,50.8,50.97,422.4
2.02E+04,2.06E+04,-3.45E+04,,2.02E-05,2.05E-05,-3.45E-05,,,50.67,50.67,50.85,422.4
2.28E+04,-1.59E+04,-3.54E+04,,2.28E-05,-1.59E-05,-3.54E-05,,,50.54,50.54,50.71,422.3
7577,-2.00E+04,-3.97E+04,,7.61E-06,-2.00E-05,-3.96E-05,,,50.39,50.39,50.57,422.3
7281,-1486,-4.45E+04,,7.32E-06,-1.47E-06,-4.45E-05,,,50.24,50.24,50.42,422.3
2623,-2.79E+04,-3.54E+04,,2.61E-06,-2.79E-05,-3.54E-05,,,50.08,50.08,50.26,422.2
-1.79E+04,-2.81E+04,-3.05E+04,,-1.78E-05,-2.81E-05,-3.05E-05,,,49.92,49.92,50.09,422.2
-2.20E+04,5050,-3.91E+04,,-2.20E-05,5.06E-06,-3.91E-05,,,49.74,49.74,49.92,422.2
-1.63E+04,-1862,-4.21E+04,,-1.63E-05,-1.85E-06,-4.21E-05,,,49.56,49.56,49.74,422.1
-2.50E+04,-4319,-3.74E+04,,-2.50E-05,-4.31E-06,-3.74E-05,,,49.37,49.37,49.54,422.1
-1.84E+04,2.93E+04,-2.91E+04,,-1.84E-05,2.94E-05,-2.91E-05,,,49.17,49.17,49.35,422
483,2.75E+04,-3.59E+04,,5.04E-07,2.75E-05,-3.59E-05,,,48.96,48.96,49.14,422
3305,7077,-4.46E+04,,3.33E-06,7.05E-06,-4.45E-05,,,48.75,48.75,48.92,421.9
1.01E+04,2.75E+04,-3.45E+04,,1.01E-05,2.75E-05,-3.45E-05,,,48.52,48.52,48.7,421.9
2.74E+04,1.95E+04,-3.02E+04,,2.74E-05,1.95E-05,-3.02E-05,,,48.29,48.29,48.47,421.8
2.65E+04,-1.25E+04,-3.45E+04,,2.64E-05,-1.25E-05,-3.45E-05,,,48.06,48.06,48.24,421.8
1.89E+04,-5328,-4.07E+04,,1.89E-05,-5.31E-06,-4.07E-05,,,47.82,47.82,48,421.7
2.43E+04,-7408,-3.74E+04,,2.43E-05,-7.40E-06,-3.73E-05,,,47.57,47.57,47.75,421.7
1.39E+04,-3.61E+04,-2.34E+04,,1.38E-05,-3.60E-05,-2.34E-05,,,47.31,47.31,47.49,421.6
-4125,-2.93E+04,-3.40E+04,,-4.16E-06,-2.93E-05,-3.41E-05,,,47.05,47.05,47.23,421.5
-6092,-1.43E+04,-4.23E+04,,-6.13E-06,-1.43E-05,-4.23E-05,,,46.78,46.78,46.96,421.5
-1.55E+04,-3.28E+04,-2.67E+04,,-1.55E-05,-3.28E-05,-2.66E-05,,,46.5,46.5,46.68,421.4
-3.08E+04,-1.94E+04,-2.64E+04,,-3.07E-05,-1.95E-05,-2.64E-05,,,46.22,46.22,46.4,421.4
-2.88E+04,6091,-3.39E+04,,-2.88E-05,6.04E-06,-3.39E-05,,,45.93,45.93,46.11,421.3
-2.70E+04,-4734,-3.55E+04,,-2.70E-05,-4.78E-06,-3.55E-05,,,45.63,45.63,45.81,421.2
-3.34E+04,7585,-2.88E+04,,-3.34E-05,7.54E-06,-2.88E-05,,,45.33,45.33,45.51,421.2
-2.32E+04,3.18E+04,-2.12E+04,,-2.32E-05,3.17E-05,-2.12E-05,,,45.03,45.03,45.21,421.1
-1.15E+04,2.19E+04,-3.71E+04,,-1.15E-05,2.18E-05,-3.72E-05,,,44.71,44.71,44.89,421
-1.21E+04,2.37E+04,-3.57E+04,,-1.21E-05,2.37E-05,-3.57E-05,,,44.4,44.4,44.58,420.9
1626,4.14E+04,-1.61E+04,,1.63E-06,4.13E-05,-1.61E-05,,,44.07,44.07,44.25,420.9
1.51E+04,2.74E+04,-3.14E+04,,1.51E-05,2.74E-05,-3.14E-05,,,43.74,43.74,43.93,420.8
1.44E+04,1.86E+04,-3.74E+04,,1.44E-05,1.86E-05,-3.75E-05,,,43.41,43.41,43.59,420.7
2.47E+04,3.09E+04,-1.96E+04,,2.47E-05,3.09E-05,-1.96E-05,,,43.07,43.07,43.25,420.7
3.41E+04,1.31E+04,-2.45E+04,,3.41E-05,1.31E-05,-2.45E-05,,,42.73,42.73,42.91,420.6
2.97E+04,-112.5,-3.23E+04,,2.97E-05,-1.25E-07,-3.23E-05,,,42.38,42.38,42.56,420.5
3.37E+04,1.01E+04,-2.60E+04,,3.38E-05,1.01E-05,-2.60E-05,,,42.03,42.03,42.21,420.4
3.79E+04,-8366,-1.99E+04,,3.79E-05,-8.36E-06,-1.99E-05,,,41.67,41.67,41.85,420.3
2.99E+04,-2.01E+04,-2.43E+04,,2.99E-05,-2.01E-05,-2.43E-05,,,41.31,41.31,41.49,420.3
2.91E+04,-9371,-3.06E+04,,2.91E-05,-9.36E-06,-3.06E-05,,,40.94,40.94,41.12,420.2
2.98E+04,-2.61E+04,-1.71E+04,,2.98E-05,-2.61E-05,-1.71E-05,,,40.57,40.57,40.75,420.1
2.03E+04,-3.37E+04,-1.73E+04,,2.02E-05,-3.37E-05,-1.73E-05,,,40.2,40.2,40.37,420
1.76E+04,-2.18E+04,-3.24E+04,,1.75E-05,-2.18E-05,-3.24E-05,,,39.82,39.82,40,419.9
1.67E+04,-3.64E+04,-1.47E+04,,1.66E-05,-3.64E-05,-1.47E-05,,,39.43,39.43,39.61,419.9
7617,-3.97E+04,-1.31E+04,,7.58E-06,-3.97E-05,-1.31E-05,,,39.05,39.05,39.22,419.8
5514,-2.74E+04,-3.18E+04,,5.50E-06,-2.74E-05,-3.18E-05,,,38.66,38.66,38.83,419.7
4242,-4.02E+04,-1.18E+04,,4.25E-06,-4.02E-05,-1.18E-05,,,38.26,38.26,38.44,419.6
-3227,-4.02E+04,-1.12E+04,,-3.25E-06,-4.02E-05,-1.12E-05,,,37.86,37.86,38.04,419.5
-3404,-2.88E+04,-2.99E+04,,-3.44E-06,-2.88E-05,-2.99E-05,,,37.46,37.46,37.64,419.5
-4617,-4.04E+04,-8010,,-4.65E-06,-4.04E-05,-8.02E-06,,,37.06,37.06,37.23,419.4
-9975,-3.84E+04,-1.13E+04,,-9.98E-06,-3.84E-05,-1.13E-05,,,36.65,36.65,36.82,419.3
-7808,-2.96E+04,-2.73E+04,,-7.80E-06,-2.96E-05,-2.73E-05,,,36.24,36.24,36.41,419.2
-8972,-3.97E+04,-3499,,-8.94E-06,-3.97E-05,-3.52E-06,,,35.82,35.82,36,419.1
-1.23E+04,-3.65E+04,-1.30E+04,,-1.23E-05,-3.65E-05,-1.30E-05,,,35.41,35.41,35.58,419.1
-8031,-3.17E+04,-2.37E+04,,-8.04E-06,-3.17E-05,-2.37E-05,,,34.99,34.99,35.16,419
-8857,-3.91E+04,872.6,,-8.87E-06,-3.91E-05,8.77E-07,,,34.56,34.56,34.73,418.9
-9949,-3.51E+04,-1.61E+04,,-9.95E-06,-3.51E-05,-1.61E-05,,,34.14,34.14,34.3,418.8
-4193,-3.52E+04,-1.78E+04,,-4.20E-06,-3.52E-05,-1.77E-05,,,33.71,33.71,33.87,418.7
-3897,-3.90E+04,3425,,-3.89E-06,-3.91E-05,3.45E-06,,,33.27,33.27,33.44,418.7
-2618,-3.39E+04,-1.94E+04,,-2.61E-06,-3.39E-05,-1.94E-05,,,32.84,32.84,33,418.6
3561,-3.77E+04,-8641,,3.55E-06,-3.77E-05,-8.63E-06,,,32.4,32.4,32.57,418.5
5692,-3.82E+04,1493,,5.69E-06,-3.82E-05,1.50E-06,,,31.96,31.96,32.12,418.4
9666,-3.14E+04,-1.97E+04,,9.69E-06,-3.14E-05,-1.97E-05,,,31.52,31.52,31.68,418.3
1.50E+04,-3.50E+04,969.4,,1.50E-05,-3.50E-05,1.01E-06,,,31.08,31.08,31.24,418.3
1.83E+04,-3.26E+04,-5469,,1.83E-05,-3.26E-05,-5.44E-06,,,30.63,30.63,30.79,418.2
2.42E+04,-2.55E+04,-1.30E+04,,2.42E-05,-2.55E-05,-1.30E-05,,,30.18,30.18,30.34,418.1
2.81E+04,-2.41E+04,3888,,2.82E-05,-2.41E-05,3.94E-06,,,29.73,29.73,29.88,418
3.05E+04,-1.78E+04,-1.08E+04,,3.05E-05,-1.78E-05,-1.08E-05,,,29.28,29.28,29.43,418
3.48E+04,-1.16E+04,-1605,,3.48E-05,-1.16E-05,-1.59E-06,,,28.82,28.82,28.97,417.9
3.58E+04,-5758,-3358,,3.58E-05,-5.77E-06,-3.36E-06,,,28.36,28.36,28.51,417.8
3.56E+04,3977,-4482,,3.56E-05,3.98E-06,-4.49E-06,,,27.9,27.9,28.05,417.8
3.40E+04,1.12E+04,1716,,3.40E-05,1.11E-05,1.72E-06,,,27.44,27.44,27.59,417.7
2.94E+04,1.78E+04,-9141,,2.93E-05,1.78E-05,-9.13E-06,,,26.98,26.98,27.12,417.6
2.42E+04,2.42E+04,8348,,2.42E-05,2.43E-05,8.38E-06,,,26.51,26.51,26.66,417.6
1.66E+04,2.97E+04,-7808,,1.66E-05,2.98E-05,-7.78E-06,,,26.05,26.05,26.19,417.5
7472,3.38E+04,1610,,7.49E-06,3.38E-05,1.62E-06,,,25.58,25.58,25.72,417.4
-3289,3.35E+04,7079,,-3.29E-06,3.35E-05,7.08E-06,,,25.11,25.11,25.25,417.4
-1.31E+04,3.05E+04,-7790,,-1.31E-05,3.05E-05,-7.80E-06,,,24.64,24.64,24.77,417.3
-2.12E+04,2.37E+04,1.15E+04,,-2.11E-05,2.37E-05,1.15E-05,,,24.16,24.16,24.3,417.3
-2.87E+04,1.71E+04,-2059,,-2.87E-05,1.72E-05,-2.09E-06,,,23.69,23.69,23.82,417.2
-3.14E+04,7395,7726,,-3.14E-05,7.42E-06,7.72E-06,,,23.21,23.21,23.34,417.2
-3.24E+04,-5727,1212,,-3.24E-05,-5.73E-06,1.22E-06,,,22.73,22.73,22.86,417.1
-2.81E+04,-1.35E+04,9593,,-2.81E-05,-1.34E-05,9.62E-06,,,22.26,22.26,22.38,417.1
-1.95E+04,-2.54E+04,4089,,-1.95E-05,-2.54E-05,4.10E-06,,,21.77,21.77,21.9,417
-9784,-3.02E+04,3768,,-9.77E-06,-3.02E-05,3.78E-06,,,21.29,21.29,21.42,417
4365,-2.80E+04,1.42E+04,,4.39E-06,-2.80E-05,1.42E-05,,,20.81,20.81,20.93,416.9
1.48E+04,-2.77E+04,-1550,,1.48E-05,-2.77E-05,-1.53E-06,,,20.33,20.33,20.44,416.9
2.34E+04,-1.51E+04,1.38E+04,,2.34E-05,-1.51E-05,1.38E-05,,,19.84,19.84,19.96,416.8
2.99E+04,-6742,3492,,2.99E-05,-6.74E-06,3.50E-06,,,19.35,19.35,19.47,416.8
2.73E+04,4889,1.27E+04,,2.73E-05,4.88E-06,1.27E-05,,,18.87,18.87,18.98,416.8
2.30E+04,1.97E+04,1455,,2.29E-05,1.97E-05,1.44E-06,,,18.38,18.38,18.49,416.7
1.27E+04,2.16E+04,1.64E+04,,1.27E-05,2.16E-05,1.64E-05,,,17.89,17.89,17.99,416.7
-1403,2.94E+04,4043,,-1.41E-06,2.94E-05,4.03E-06,,,17.4,17.4,17.5,416.7
-1.15E+04,2.42E+04,1.21E+04,,-1.15E-05,2.43E-05,1.21E-05,,,16.91,16.91,17.01,416.6
-2.36E+04,1.27E+04,1.13E+04,,-2.36E-05,1.28E-05,1.13E-05,,,16.41,16.41,16.51,416.6
-2.57E+04,6081,1.16E+04,,-2.57E-05,6.12E-06,1.16E-05,,,15.92,15.92,16.02,416.6
-2.32E+04,-1.35E+04,9673,,-2.33E-05,-1.35E-05,9.64E-06,,,15.43,15.43,15.52,416.6
-1.66E+04,-1.81E+04,1.41E+04,,-1.66E-05,-1.80E-05,1.41E-05,,,14.93,14.93,15.02,416.6
-1116,-2.43E+04,1.39E+04,,-1.13E-06,-2.43E-05,1.39E-05,,,14.43,14.43,14.52,416.5
8585,-2.48E+04,8957,,8.58E-06,-2.48E-05,8.95E-06,,,13.94,13.94,14.02,416.5
2.03E+04,-9471,1.59E+04,,2.03E-05,-9.44E-06,1.60E-05,,,13.44,13.44,13.52,416.5
2.42E+04,-5761,1.10E+04,,2.42E-05,-5.76E-06,1.10E-05,,,12.94,12.94,13.02,416.5
1.95E+04,1.28E+04,1.36E+04,,1.95E-05,1.28E-05,1.36E-05,,,12.44,12.44,12.52,416.5
1.40E+04,1.96E+04,1.16E+04,,1.40E-05,1.96E-05,1.16E-05,,,11.94,11.94,12.02,416.5
-1665,1.93E+04,1.80E+04,,-1.66E-06,1.93E-05,1.80E-05,,,11.44,11.44,11.51,416.5
-1.10E+04,2.20E+04,8976,,-1.10E-05,2.20E-05,8.96E-06,,,10.94,10.94,11.01,416.5
-1.87E+04,4067,1.75E+04,,-1.87E-05,4.08E-06,1.75E-05,,,10.44,10.44,10.51,416.5
-2.18E+04,-133.8,1.37E+04,,-2.18E-05,-1.23E-07,1.37E-05,,,9.94,9.94,10,416.5
-1.27E+04,-1.42E+04,1.70E+04,,-1.27E-05,-1.41E-05,1.69E-05,,,9.438,9.438,9.497,416.5
-6251,-2.13E+04,1.21E+04,,-6.22E-06,-2.13E-05,1.20E-05,,,8.935,8.935,8.991,416.6
8425,-1.34E+04,1.94E+04,,8.45E-06,-1.34E-05,1.94E-05,,,8.432,8.432,8.485,416.6
1.59E+04,-1.53E+04,1.14E+04,,1.59E-05,-1.53E-05,1.14E-05,,,7.929,7.929,7.978,416.6
1.79E+04,4060,1.63E+04,,1.80E-05,4.05E-06,1.63E-05,,,7.425,7.425,7.471,416.6
1.74E+04,8921,1.46E+04,,1.74E-05,8.91E-06,1.46E-05,,,6.92,6.92,6.964,416.6
4404,1.60E+04,1.75E+04,,4.42E-06,1.60E-05,1.75E-05,,,6.416,6.416,6.456,416.7
-2989,2.05E+04,1.20E+04,,-2.96E-06,2.05E-05,1.20E-05,,,5.911,5.911,5.948,416.7
-1.39E+04,6130,1.83E+04,,-1.39E-05,6.13E-06,1.82E-05,,,5.406,5.406,5.439,416.7
-1.75E+04,5721,1.47E+04,,-1.75E-05,5.73E-06,1.47E-05,,,4.9,4.9,4.931,416.8
-1.25E+04,-1.20E+04,1.57E+04,,-1.25E-05,-1.20E-05,1.57E-05,,,4.394,4.394,4.422,416.8
-7781,-1.49E+04,1.59E+04,,-7.79E-06,-1.50E-05,1.59E-05,,,3.888,3.888,3.913,416.8
6782,-1.34E+04,1.74E+04,,6.79E-06,-1.34E-05,1.74E-05,,,3.382,3.382,3.404,416.9
1.20E+04,-1.36E+04,1.38E+04,,1.20E-05,-1.36E-05,1.38E-05,,,2.876,2.876,2.894,416.9
1.66E+04,4869,1.47E+04,,1.66E-05,4.87E-06,1.46E-05,,,2.369,2.369,2.384,417
1.40E+04,5515,1.67E+04,,1.40E-05,5.54E-06,1.67E-05,,,1.863,1.863,1.875,417
2762,1.77E+04,1.34E+04,,2.76E-06,1.77E-05,1.34E-05,,,1.356,1.356,1.365,417.1
-3831,1.50E+04,1.59E+04,,-3.84E-06,1.51E-05,1.58E-05,,,0.8496,0.8496,0.855,417.2
-1.53E+04,5283,1.50E+04,,-1.53E-05,5.31E-06,1.50E-05,,,0.3429,0.3429,0.3451,417.2
-1.42E+04,1988,1.65E+04,,-1.43E-05,1.99E-06,1.65E-05,,,-0.1638,-0.1638,-0.1648,417.3
-1.03E+04,-1.55E+04,1.13E+04,,-1.03E-05,-1.55E-05,1.13E-05,,,-0.6705,-0.6705,-0.6747,417.4
-1562,-1.14E+04,1.83E+04,,-1.59E-06,-1.14E-05,1.84E-05,,,-1.177,-1.177,-1.185,417.4
1.11E+04,-1.41E+04,1.18E+04,,1.11E-05,-1.42E-05,1.18E-05,,,-1.684,-1.684,-1.694,417.5
1.37E+04,-4031,1.60E+04,,1.37E-05,-4.04E-06,1.60E-05,,,-2.19,-2.19,-2.204,417.6
1.58E+04,9475,1.07E+04,,1.58E-05,9.49E-06,1.07E-05,,,-2.697,-2.697,-2.714,417.7
5588,1.05E+04,1.75E+04,,5.57E-06,1.06E-05,1.75E-05,,,-3.203,-3.203,-3.223,417.7
-4774,1.88E+04,8364,,-4.78E-06,1.88E-05,8.34E-06,,,-3.709,-3.709,-3.732,417.8
-1.26E+04,5044,1.60E+04,,-1.26E-05,5.04E-06,1.60E-05,,,-4.215,-4.215,-4.241,417.9
-1.73E+04,-1139,1.18E+04,,-1.73E-05,-1.17E-06,1.18E-05,,,-4.72,-4.72,-4.75,418
-8227,-1.25E+04,1.45E+04,,-8.23E-06,-1.25E-05,1.45E-05,,,-5.226,-5.226,-5.259,418.1
91.48,-1.83E+04,9829,,9.04E-08,-1.83E-05,9.85E-06,,,-5.731,-5.731,-5.767,418.2
1.33E+04,-7957,1.37E+04,,1.33E-05,-7.99E-06,1.37E-05,,,-6.236,-6.236,-6.275,418.3
1.70E+04,-3486,1.11E+04,,1.70E-05,-3.52E-06,1.11E-05,,,-6.74,-6.74,-6.782,418.4
1.22E+04,1.43E+04,8301,,1.22E-05,1.43E-05,8.32E-06,,,-7.244,-7.244,-7.29,418.5
2530,1.54E+04,1.32E+04,,2.51E-06,1.54E-05,1.33E-05,,,-7.748,-7.748,-7.797,418.6
-1.24E+04,1.36E+04,8861,,-1.24E-05,1.36E-05,8.88E-06,,,-8.252,-8.252,-8.303,418.7
-1.60E+04,3033,1.22E+04,,-1.61E-05,3.02E-06,1.22E-05,,,-8.755,-8.755,-8.809,418.8
-1.43E+04,-1.31E+04,6201,,-1.43E-05,-1.31E-05,6.23E-06,,,-9.257,-9.257,-9.315,418.9
-929.3,-1.43E+04,1.44E+04,,-9.94E-07,-1.43E-05,1.44E-05,,,-9.759,-9.759,-9.82,419.1
1.21E+04,-1.56E+04,4578,,1.20E-05,-1.57E-05,4.61E-06,,,-10.26,-10.26,-10.32,419.2
1.77E+04,1080,9768,,1.77E-05,1.07E-06,9.81E-06,,,-10.76,-10.76,-10.83,419.3
1.45E+04,1.19E+04,7533,,1.45E-05,1.19E-05,7.55E-06,,,-11.26,-11.26,-11.33,419.4
-892.6,1.84E+04,8178,,-8.69E-07,1.84E-05,8.21E-06,,,-11.76,-11.76,-11.83,419.6
-1.29E+04,1.39E+04,6746,,-1.29E-05,1.40E-05,6.78E-06,,,-12.26,-12.26,-12.34,419.7
-1.92E+04,-3096,5339,,-1.92E-05,-3.08E-06,5.35E-06,,,-12.76,-12.76,-12.84,419.8
-1.11E+04,-1.26E+04,1.11E+04,,-1.11E-05,-1.26E-05,1.12E-05,,,-13.26,-13.26,-13.34,419.9
4022,-1.97E+04,908.6,,4.01E-06,-1.97E-05,9.29E-07,,,-13.75,-13.75,-13.84,420.1
1.64E+04,-7946,8598,,1.63E-05,-7.89E-06,8.62E-06,,,-14.25,-14.25,-14.34,420.2
1.88E+04,6292,3298,,1.88E-05,6.33E-06,3.30E-06,,,-14.75,-14.75,-14.84,420.4
6166,1.82E+04,5948,,6.16E-06,1.82E-05,5.91E-06,,,-15.24,-15.24,-15.33,420.5
