Magnetic Field.X,Magnetic Field.Y,Magnetic Field.Z,,Measured Magnetic Field Vector.X,Measured Magnetic Field Vector.Y,Magnetic Field Vector.Z,,,Declination,Geocentric Latitude,Geodetic Latitude,Altitude
6924,-1966,-4.80E+04,,6.93E-06,-1.95E-06,-4.80E-05,,,-41.18,-41.18,-41.36,430.1
-3.33E+04,-2.73E+04,-2.25E+04,,-3.33E-05,-2.73E-05,-2.25E-05,,,-40.81,-40.81,-40.99,429.9
3.32E+04,3.52E+04,-4230,,3.32E-05,3.52E-05,-4.25E-06,,,-40.44,-40.44,-40.62,429.8
-2.64E+04,-5452,-4.05E+04,,-2.64E-05,-5.49E-06,-4.05E-05,,,-40.07,-40.07,-40.25,429.6
3.93E+04,-2.43E+04,-1.52E+04,,3.93E-05,-2.43E-05,-1.53E-05,,,-39.69,-39.69,-39.87,429.5
-4.46E+04,9218,-1.71E+04,,-4.46E-05,9.17E-06,-1.71E-05,,,-39.31,-39.31,-39.48,429.3
2.80E+04,3407,-3.97E+04,,2.80E-05,3.40E-06,-3.97E-05,,,-38.92,-38.92,-39.1,429.2
-1.77E+04,4.10E+04,-1.92E+04,,-1.77E-05,4.11E-05,-1.93E-05,,,-38.53,-38.53,-38.7,429
1.77E+04,-4.43E+04,9278,,1.77E-05,-4.43E-05,9.23E-06,,,-38.13,-38.13,-38.31,428.8
-1.88E+04,2.36E+04,-3.81E+04,,-1.88E-05,2.36E-05,-3.82E-05,,,-37.74,-37.74,-37.91,428.7
-6506,-1.66E+04,-4.52E+04,,-6.53E-06,-1.66E-05,-4.52E-05,,,-37.33,-37.33,-37.51,428.5
8856,4.75E+04,4231,,8.81E-06,4.75E-05,4.22E-06,,,-36.93,-36.93,-37.1,428.3
-1.09E+04,-4.70E+04,4034,,-1.09E-05,-4.70E-05,4.02E-06,,,-36.52,-36.52,-36.69,428.2
8656,1.60E+04,-4.48E+04,,8.65E-06,1.60E-05,-4.49E-05,,,-36.11,-36.11,-36.28,428
-2.95E+04,-2.04E+04,-3.23E+04,,-2.96E-05,-2.04E-05,-3.23E-05,,,-35.7,-35.7,-35.87,427.8
2.70E+04,3.86E+04,1.03E+04,,2.70E-05,3.86E-05,1.03E-05,,,-35.28,-35.28,-35.45,427.7
-2.55E+04,-4.04E+04,-5825,,-2.56E-05,-4.04E-05,-5.83E-06,,,-34.86,-34.86,-35.03,427.5
2.29E+04,9069,-4.13E+04,,2.28E-05,9.09E-06,-4.13E-05,,,-34.43,-34.43,-34.6,427.3
-3.73E+04,-2.01E+04,-2.25E+04,,-3.73E-05,-2.01E-05,-2.25E-05,,,-34.01,-34.01,-34.17,427.2
3.24E+04,3.31E+04,1.20E+04,,3.24E-05,3.31E-05,1.20E-05,,,-33.58,-33.58,-33.74,427
-2.87E+04,-3.75E+04,-6775,,-2.87E-05,-3.74E-05,-6.76E-06,,,-33.15,-33.15,-33.31,426.8
2.41E+04,1.12E+04,-3.94E+04,,2.41E-05,1.12E-05,-3.94E-05,,,-32.71,-32.71,-32.88,426.6
-3.45E+04,-2.44E+04,-2.16E+04,,-3.46E-05,-2.44E-05,-2.16E-05,,,-32.28,-32.28,-32.44,426.5
2.64E+04,3.56E+04,1.65E+04,,2.64E-05,3.55E-05,1.65E-05,,,-31.84,-31.84,-32,426.3
-2.20E+04,-4.16E+04,2627,,-2.21E-05,-4.16E-05,2.64E-06,,,-31.39,-31.39,-31.55,426.1
1.21E+04,2.18E+04,-3.98E+04,,1.20E-05,2.18E-05,-3.98E-05,,,-30.95,-30.95,-31.11,425.9
-1.90E+04,-3.11E+04,-2.93E+04,,-1.90E-05,-3.12E-05,-2.93E-05,,,-30.5,-30.5,-30.66,425.8
5639,4.25E+04,1.83E+04,,5.61E-06,4.25E-05,1.83E-05,,,-30.05,-30.05,-30.21,425.6
659.2,-4.29E+04,1.77E+04,,6.35E-07,-4.29E-05,1.78E-05,,,-29.6,-29.6,-29.76,425.4
-1.61E+04,3.16E+04,-2.97E+04,,-1.61E-05,3.16E-05,-2.97E-05,,,-29.15,-29.15,-29.3,425.2
1.44E+04,-2.58E+04,-3.53E+04,,1.44E-05,-2.58E-05,-3.53E-05,,,-28.7,-28.7,-28.85,425.1
-2.76E+04,3.66E+04,1979,,-2.76E-05,3.66E-05,2.02E-06,,,-28.24,-28.24,-28.39,424.9
3.58E+04,-2.33E+04,1.62E+04,,3.58E-05,-2.33E-05,1.62E-05,,,-27.78,-27.78,-27.93,424.7
-4.33E+04,1.39E+04,772.7,,-4.33E-05,1.39E-05,7.83E-07,,,-27.32,-27.32,-27.47,424.5
4.39E+04,3890,-1.03E+04,,4.39E-05,3.87E-06,-1.03E-05,,,-26.86,-26.86,-27,424.4
-3.90E+04,-9003,-2.06E+04,,-3.91E-05,-9.01E-06,-2.05E-05,,,-26.39,-26.39,-26.54,424.2
3.64E+04,1.47E+04,-2.16E+04,,3.64E-05,1.47E-05,-2.15E-05,,,-25.92,-25.92,-26.07,424
-2.35E+04,-3.69E+04,8661,,-2.35E-05,-3.69E-05,8.69E-06,,,-25.46,-25.46,-25.6,423.9
8521,3.20E+04,2.95E+04,,8.47E-06,3.21E-05,2.95E-05,,,-24.99,-24.99,-25.13,423.7
9171,-4.29E+04,4565,,9.16E-06,-4.29E-05,4.56E-06,,,-24.52,-24.52,-24.65,423.5
-2.79E+04,2.38E+04,-2.41E+04,,-2.79E-05,2.38E-05,-2.41E-05,,,-24.04,-24.04,-24.18,423.3
3.55E+04,-1.81E+04,-1.78E+04,,3.55E-05,-1.81E-05,-1.78E-05,,,-23.57,-23.57,-23.7,423.2
-4.30E+04,3217,-5268,,-4.30E-05,3.23E-06,-5.30E-06,,,-23.09,-23.09,-23.22,423
3.87E+04,1.90E+04,76.37,,3.87E-05,1.90E-05,6.73E-08,,,-22.62,-22.62,-22.74,422.8
-2.11E+04,-2.57E+04,2.71E+04,,-2.11E-05,-2.57E-05,2.71E-05,,,-22.14,-22.14,-22.26,422.7
7841,3.31E+04,2.57E+04,,7.81E-06,3.32E-05,2.57E-05,,,-21.66,-21.66,-21.78,422.5
1.83E+04,-3.72E+04,-8686,,1.82E-05,-3.72E-05,-8.67E-06,,,-21.18,-21.18,-21.3,422.4
-3.43E+04,1.81E+04,-1.64E+04,,-3.43E-05,1.82E-05,-1.64E-05,,,-20.69,-20.69,-20.81,422.2
4.07E+04,-1616,-9836,,4.06E-05,-1.62E-06,-9.84E-06,,,-20.21,-20.21,-20.33,422
-3.51E+04,-1.83E+04,-1.29E+04,,-3.51E-05,-1.83E-05,-1.29E-05,,,-19.73,-19.73,-19.84,421.9
1.44E+04,3.85E+04,4330,,1.43E-05,3.85E-05,4.33E-06,,,-19.24,-19.24,-19.35,421.7
1.25E+04,-2.45E+04,3.05E+04,,1.25E-05,-2.45E-05,3.05E-05,,,-18.75,-18.75,-18.86,421.6
-2.69E+04,1.96E+04,2.36E+04,,-2.69E-05,1.96E-05,2.36E-05,,,-18.26,-18.26,-18.37,421.4
3.79E+04,-6698,1.28E+04,,3.78E-05,-6.72E-06,1.28E-05,,,-17.77,-17.77,-17.88,421.3
-3.28E+04,-1.66E+04,1.64E+04,,-3.28E-05,-1.66E-05,1.64E-05,,,-17.28,-17.28,-17.39,421.1
7132,3.81E+04,-9822,,7.08E-06,3.81E-05,-9.82E-06,,,-16.79,-16.79,-16.89,421
1.87E+04,-2.98E+04,-1.85E+04,,1.86E-05,-2.98E-05,-1.85E-05,,,-16.3,-16.3,-16.4,420.8
-3.76E+04,1.18E+04,-1991,,-3.76E-05,1.18E-05,-2.01E-06,,,-15.81,-15.81,-15.9,420.7
