Magnetic Field.X,Magnetic Field.Y,Magnetic Field.Z,,Magnetometer X,Magnetometer Y,Magnetometer Z,,,,
3069,-2.82E+04,3.94E+04,,3.08E-06,-2.82E-05,3.94E-05,,0.00E+00,0.00E+00,0.00E+00
-3.28E+04,-2.86E+04,2.16E+04,,-3.28E-05,-2.86E-05,2.16E-05,,0.00E+00,0.00E+00,0.00E+00
-4.51E+04,-1.12E+04,-1.42E+04,,-4.51E-05,-1.12E-05,-1.42E-05,,0.00E+00,0.00E+00,0.00E+00
-2.96E+04,2.43E+04,-3.00E+04,,-2.96E-05,2.43E-05,-3.00E-05,,-4.40E+00,0.00E+00,8.00E+00
-218.4,4.81E+04,-7092,,-2.14E-07,4.81E-05,-7.10E-06,,0.00E+00,1.00E+02,0.00E+00
2.96E+04,3.31E+04,2.00E+04,,2.96E-05,3.30E-05,2.00E-05,,0.00E+00,1.06E+01,1.00E+02
4.74E+04,-104.4,1.11E+04,,4.74E-05,-1.15E-07,1.10E-05,,-1.00E+02,0.00E+00,0.00E+00
3.84E+04,-1.92E+04,-2.29E+04,,3.85E-05,-1.92E-05,-2.29E-05,,-2.40E+01,0.00E+00,0.00E+00
3466,-1.98E+04,-4.43E+04,,3.49E-06,-1.98E-05,-4.43E-05,,0.00E+00,0.00E+00,1.00E+02
-3.46E+04,-1.19E+04,-3.20E+04,,-3.46E-05,-1.19E-05,-3.21E-05,,0.00E+00,-1.84E+01,4.50E+01
-4.84E+04,511.6,4385,,-4.84E-05,5.30E-07,4.34E-06,,1.00E+02,0.00E+00,0.00E+00
-2.86E+04,1.92E+04,3.41E+04,,-2.87E-05,1.92E-05,3.41E-05,,2.50E+01,0.00E+00,0.00E+00
8355,3.68E+04,3.04E+04,,8.33E-06,3.68E-05,3.04E-05,,0.00E+00,0.00E+00,2.00E+01
3.68E+04,3.14E+04,-1000,,3.68E-05,3.14E-05,-1.02E-06,,0.00E+00,1.00E+01,0.00E+00
4.48E+04,-4150,-1.76E+04,,4.48E-05,-4.16E-06,-1.76E-05,,0.00E+00,0.00E+00,5.00E+00
3.27E+04,-3.50E+04,5595,,3.27E-05,-3.50E-05,5.59E-06,,2.30E+01,0.00E+00,0.00E+00
2083,-3.23E+04,3.56E+04,,2.06E-06,-3.23E-05,3.56E-05,,0.00E+00,0.00E+00,1.00E+02
