Magnetic Field.X,Magnetic Field.Y,Magnetic Field.Z,,Magnetometer X,Magnetometer Y,Magnetometer Z,,,,
-1.10E+04,-1.47E+04,-3.25E+04,,-1.09E-05,-1.47E-05,-3.25E-05,,-1.00E+02,0.00E+00,0.00E+00
-1.08E+04,-1.49E+04,-3.29E+04,,-1.08E-05,-1.49E-05,-3.29E-05,,0.00E+00,0.00E+00,0.00E+00
-1.07E+04,-1.50E+04,-3.33E+04,,-1.07E-05,-1.51E-05,-3.33E-05,,0.00E+00,1.00E+02,0.00E+00
-1.05E+04,-1.52E+04,-3.37E+04,,-1.05E-05,-1.52E-05,-3.37E-05,,0.00E+00,0.00E+00,0.00E+00
-1.04E+04,-1.53E+04,-3.40E+04,,-1.04E-05,-1.54E-05,-3.41E-05,,0.00E+00,1.00E+02,1.00E+02
-1.02E+04,-1.55E+04,-3.44E+04,,-1.02E-05,-1.55E-05,-3.44E-05,,0.00E+00,0.00E+00,0.00E+00
-1.01E+04,-1.56E+04,-3.48E+04,,-1.01E-05,-1.56E-05,-3.48E-05,,0.00E+00,0.00E+00,0.00E+00
-9910,-1.58E+04,-3.52E+04,,-9.91E-06,-1.58E-05,-3.51E-05,,0.00E+00,0.00E+00,-1.00E+02
-9745,-1.59E+04,-3.55E+04,,-9.76E-06,-1.59E-05,-3.55E-05,,1.50E+01,0.00E+00,0.00E+00
-9578,-1.60E+04,-3.59E+04,,-9.57E-06,-1.61E-05,-3.59E-05,,-8.00E+00,1.00E+02,0.00E+00
-9409,-1.62E+04,-3.63E+04,,-9.41E-06,-1.62E-05,-3.63E-05,,1.00E+00,0.00E+00,0.00E+00
-9238,-1.63E+04,-3.66E+04,,-9.22E-06,-1.63E-05,-3.66E-05,,-1.80E+01,0.00E+00,0.00E+00
-9066,-1.64E+04,-3.70E+04,,-9.04E-06,-1.64E-05,-3.70E-05,,-2.60E+01,0.00E+00,0.00E+00
-8893,-1.65E+04,-3.73E+04,,-8.88E-06,-1.65E-05,-3.73E-05,,-1.30E+01,0.00E+00,0.00E+00
-8720,-1.67E+04,-3.77E+04,,-8.69E-06,-1.66E-05,-3.77E-05,,-3.00E+01,-1.00E+02,0.00E+00
-8547,-1.68E+04,-3.80E+04,,-8.51E-06,-1.67E-05,-3.80E-05,,-3.70E+01,-1.00E+02,0.00E+00
-8375,-1.69E+04,-3.84E+04,,-8.36E-06,-1.69E-05,-3.83E-05,,-1.50E+01,0.00E+00,-1.00E+02
-8204,-1.70E+04,-3.87E+04,,-8.20E-06,-1.70E-05,-3.87E-05,,-4.00E+00,0.00E+00,0.00E+00
-8035,-1.71E+04,-3.90E+04,,-8.03E-06,-1.71E-05,-3.90E-05,,-5.00E+00,0.00E+00,0.00E+00
-7868,-1.72E+04,-3.93E+04,,-7.86E-06,-1.72E-05,-3.93E-05,,-8.00E+00,0.00E+00,0.00E+00
-7704,-1.73E+04,-3.96E+04,,-7.70E-06,-1.74E-05,-3.96E-05,,-4.00E+00,1.00E+02,0.00E+00
-7543,-1.75E+04,-3.99E+04,,-7.53E-06,-1.75E-05,-3.99E-05,,-1.30E+01,0.00E+00,0.00E+00
-7386,-1.76E+04,-4.02E+04,,-7.37E-06,-1.76E-05,-4.02E-05,,-1.60E+01,0.00E+00,0.00E+00
-7233,-1.77E+04,-4.04E+04,,-7.22E-06,-1.77E-05,-4.04E-05,,-1.30E+01,0.00E+00,0.00E+00
-7085,-1.78E+04,-4.07E+04,,-7.07E-06,-1.78E-05,-4.07E-05,,-1.50E+01,0.00E+00,0.00E+00
-6943,-1.79E+04,-4.09E+04,,-6.92E-06,-1.80E-05,-4.09E-05,,-2.30E+01,1.00E+02,0.00E+00
-6807,-1.81E+04,-4.12E+04,,-6.78E-06,-1.81E-05,-4.12E-05,,-2.70E+01,0.00E+00,0.00E+00
-6677,-1.82E+04,-4.14E+04,,-6.66E-06,-1.82E-05,-4.14E-05,,-1.70E+01,0.00E+00,0.00E+00
-6554,-1.83E+04,-4.16E+04,,-6.54E-06,-1.83E-05,-4.16E-05,,-1.40E+01,0.00E+00,0.00E+00
-6439,-1.85E+04,-4.18E+04,,-6.43E-06,-1.85E-05,-4.18E-05,,-9.00E+00,0.00E+00,0.00E+00
-6333,-1.86E+04,-4.20E+04,,-6.33E-06,-1.86E-05,-4.20E-05,,-3.00E+00,0.00E+00,0.00E+00
-6235,-1.88E+04,-4.21E+04,,-6.25E-06,-1.88E-05,-4.21E-05,,1.50E+01,0.00E+00,0.00E+00
-6146,-1.89E+04,-4.23E+04,,-6.13E-06,-1.89E-05,-4.23E-05,,-1.60E+01,0.00E+00,0.00E+00
-6067,-1.91E+04,-4.24E+04,,-6.06E-06,-1.91E-05,-4.24E-05,,-7.00E+00,0.00E+00,0.00E+00
-5999,-1.93E+04,-4.25E+04,,-6.02E-06,-1.93E-05,-4.26E-05,,2.10E+01,0.00E+00,1.00E+02
-5941,-1.95E+04,-4.27E+04,,-5.97E-06,-1.95E-05,-4.27E-05,,2.90E+01,0.00E+00,0.00E+00
-5894,-1.97E+04,-4.27E+04,,-5.93E-06,-1.97E-05,-4.28E-05,,3.60E+01,0.00E+00,1.00E+02
-5860,-1.99E+04,-4.28E+04,,-5.88E-06,-1.99E-05,-4.28E-05,,2.00E+01,0.00E+00,0.00E+00
-5838,-2.01E+04,-4.29E+04,,-5.84E-06,-2.01E-05,-4.29E-05,,2.00E+00,0.00E+00,0.00E+00
-5828,-2.03E+04,-4.29E+04,,-5.84E-06,-2.03E-05,-4.29E-05,,1.20E+01,0.00E+00,0.00E+00
-5831,-2.05E+04,-4.29E+04,,-5.82E-06,-2.05E-05,-4.29E-05,,-1.10E+01,0.00E+00,0.00E+00
-5849,-2.08E+04,-4.30E+04,,-5.87E-06,-2.08E-05,-4.30E-05,,2.10E+01,0.00E+00,0.00E+00
-5879,-2.10E+04,-4.29E+04,,-5.92E-06,-2.10E-05,-4.30E-05,,4.10E+01,0.00E+00,1.00E+02
-5925,-2.13E+04,-4.29E+04,,-5.94E-06,-2.13E-05,-4.29E-05,,1.50E+01,0.00E+00,0.00E+00
-5984,-2.16E+04,-4.29E+04,,-6.01E-06,-2.15E-05,-4.29E-05,,2.60E+01,-1.00E+02,0.00E+00
-6059,-2.18E+04,-4.28E+04,,-6.09E-06,-2.18E-05,-4.28E-05,,3.10E+01,0.00E+00,0.00E+00
